"","show","season1","season2","average vote","airdate_1","airdate_2","days_between","episodes","English","Runtime","Certificate","Genre"
"121","Married at First Sight",6.93846153846154,6.55625,15.6923076923077,2014-07-08,2015-03-17,252,13,"TRUE",83,"TV-14","Reality-TV"
"122","Master of None",8.34,8.77,1898.2,2015-11-06,2017-05-12,553,10,"TRUE",30,"TV-MA","Comedy Drama"
"124","Mayans M.C.",8.09,8.35,645.3,2018-09-04,2019-09-03,364,10,"TRUE",60,"TV-MA","Crime Drama Thriller"
"125","McLeod's Daughters",7.84545454545455,8.26818181818182,64.2727272727273,2001-08-08,2002-03-27,231,22,"TRUE",45,"TV-14","Drama Romance"
"126","Medium",8.0125,8.05,262.5625,2005-01-03,2005-09-19,259,16,"TRUE",60,"TV-14","Crime Drama Fantasy Mystery Thriller"
"127","Melissa &amp; Joey",7.12333333333333,7.36,125.266666666667,2010-08-17,2012-05-30,652,30,"TRUE",30,"TV-14","Comedy Romance"
"128","Melrose Place",7.4,7.93548387096774,89.6875,1992-07-08,1993-09-08,427,32,"TRUE",60,"TV-14","Drama Romance"
"130","Men in Black: The Series",6.78461538461538,6.91538461538462,32.3846153846154,1997-10-11,1998-09-19,343,13,"TRUE",25,"TV-Y7","Animation Action Comedy Family Mystery Sci-Fi"
"133","Miracle Workers",7.34285714285714,7.27,540.571428571429,2019-02-08,2020-01-28,354,7,"TRUE",22,"TV-14","Comedy Drama Fantasy Romance"
"134","Miss Fisher's Murder Mysteries",7.81538461538462,7.93846153846154,437.153846153846,2012-02-24,2013-09-06,560,13,"TRUE",60,"TV-PG","Crime Drama Mystery"
"135","Motherland",7.57142857142857,7.86666666666667,109.142857142857,2017-11-07,2019-10-07,699,7,"TRUE",30,"TV-MA","Comedy"
"137","Mr. Iglesias",7.57,7.41428571428571,187.6,2019-06-21,2020-06-17,362,10,"TRUE",30,"TV-14","Comedy"
"138","Mr. Robot",8.83,8.74166666666667,10402.6,2015-06-24,2016-07-10,382,10,"TRUE",49,"TV-MA","Crime Drama Thriller"
"139","Murder in the First",7.89,7.9,192.7,2014-06-09,2015-06-08,364,10,"TRUE",42,"TV-MA","Crime Drama Mystery"
"140","Night Gallery",7.31428571428571,7.42608695652174,645.571428571429,1969-11-08,1971-09-15,676,7,"TRUE",50,"TV-PG","Drama Fantasy Horror Mystery Sci-Fi Thriller"
"141","Nirvanna the Band the Show",9.075,9.0875,90.25,2017-02-02,2017-12-08,309,8,"TRUE",22,"TV-MA","Comedy"
"142","Nisekoi",7.75,7.59166666666667,52.05,2014-01-11,2015-04-10,454,20,"FALSE",25,"TV-PG","Animation Comedy Romance"
"145","OK K.O.! Let's Be Heroes",7.93461538461538,7.44054054054054,47.2307692307692,2017-06-13,2018-05-04,325,52,"TRUE",11,"TV-Y7-FV","Animation Short Action Adventure Comedy Family Fantasy Sci-Fi"
"146","Once Upon a Time",8.34090909090909,8.26818181818182,2281.68181818182,2011-10-23,2012-09-30,343,22,"TRUE",60,"TV-PG","Adventure Fantasy Romance"
"147","One Tree Hill",8.42727272727273,8.39130434782609,426.681818181818,2003-09-23,2004-09-21,364,22,"TRUE",60,"TV-14","Drama Romance Sport"
"149","Our Cartoon President",6.05,6.25,103.777777777778,2018-02-11,2019-05-12,455,18,"TRUE",30,"TV-14","Animation Adventure Comedy"
"150","Outrageous Fortune",8.21538461538461,8.31176470588235,25.8461538461538,2005-07-12,2006-08-05,389,13,"TRUE",45,"TV-MA","Comedy Crime Drama"
